Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
83,10,2023.67,20196.3,488,4880,246.4,2464,241.6,2416,49.5082,49.5082,,51053,,1.10833,2.41889,0.871061,1750.02,4142.51,51.5602,39.8675,5.015,3.75,194.316,225.159,74.1846,0d 1h 14m 11s
84,10,2019.7,20179.3,488,4880,245.9,2459,242.1,2421,49.6107,49.6107,,25881,,1.04782,2.70934,0.87106,1288.59,3575.33,34.7129,32.8873,4.515,4.75,132.536,151.509,80.4131,0d 1h 20m 24s
85,10,2100.18,20988.5,488,4880,255.7,2557,232.3,2323,47.6025,47.6025,,50546,,1.13643,2.22556,0.870812,2718.05,9264.21,45.1115,39.6321,4.525,3.75,239.044,325.908,73.3585,0d 1h 13m 21s
86,10,2174.93,21732.7,488,4880,264.8,2648,223.2,2232,45.7377,45.7377,,53240,,1.10446,2.80592,1.83797,1696.34,5119.13,42.0103,42.1695,4.39,4.75,170.163,228.052,75.5981,0d 1h 15m 35s
87,10,2056.67,20547.8,488,4880,250.4,2504,237.6,2376,48.6885,48.6885,,29537,,1.11833,2.51574,1.83794,1954.95,3948.26,38.5253,37.567,4.13,3.75,173.448,212.351,74.7066,0d 1h 14m 42s
88,10,2787.61,27855.4,488,4880,339.4,3394,148.6,1486,30.4508,30.4508,,40973,,1.17904,2.02726,0.870506,1590.69,4480.87,23.6274,20.8636,3.24,2.85,117.6,138.423,71.7821,0d 1h 11m 46s
89,10,2265.28,22636,488,4880,275.8,2758,212.2,2122,43.4836,43.4836,,25790,,1.12254,2.22569,0.87146,1917.12,3588.19,33.4713,31.8967,3.775,3.75,162.218,178.396,74.7639,0d 1h 14m 45s
90,10,2049.28,20473.9,488,4880,249.5,2495,238.5,2385,48.873,48.873,,46573,,1.15967,2.80583,0.871395,1847.29,3515.8,35.8278,33.4725,4.09,4.75,162.684,181.095,72.6399,0d 1h 12m 38s
91,10,2291.57,22897.7,488,4880,279,2790,209,2090,42.8279,42.8279,,54376,,1.08907,2.32234,0.870758,1337.03,3469.72,30.3729,25.2669,3.765,3.75,122.072,137.36,77.7449,0d 1h 17m 44s
92,10,2243.84,22418.7,488,4880,273.2,2732,214.8,2148,44.0164,44.0164,,730,,1.13194,2.22559,0.871693,2016.47,3984.11,38.4253,36.1701,3.59,3.75,180.913,210.08,74.4486,0d 1h 14m 26s
