Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
89,10,3572.93,35679.8,282,2820,251,2510,31,310,10.9929,10.9929,,8079,,15.8607,2.90249,1.83803,378.942,1346.47,5.4939,5.75856,2.92,2.85,23.8344,36.2083,0.441022,0d 0h 0m 26s
90,10,3849.1,38439.1,282,2820,270.4,2704,11.6,116,4.11348,4.11348,,55486,,18.1574,2.90253,0.87129,459.472,1256.17,5.42909,5.43011,3,2.85,29.6285,42.248,0.342584,0d 0h 0m 20s
91,10,3856.22,38500.3,282,2820,270.9,2709,11.1,111,3.93617,3.93617,,39950,,22.6723,2.51575,0.871416,571.608,1265.55,5.07861,4.9903,2.52,2.85,35.7938,47.3958,0.258337,0d 0h 0m 15s
92,10,3854.79,38490,282,2820,270.8,2708,11.2,112,3.97163,3.97163,,54808,,19.1277,2.61223,0.870931,586.599,2036.06,6.12199,6.27276,2.71,2.85,38.0727,61.972,0.345562,0d 0h 0m 20s
93,10,3995.72,39905,282,2820,280.7,2807,1.3,13,0.460993,0.460993,,51997,,20.103,2.5155,0.870451,328.166,1082.71,4.28843,4.28632,2.52,2.85,20.22,30.4473,0.315436,0d 0h 0m 18s
94,10,3998.56,39926.9,282,2820,280.9,2809,1.1,11,0.390071,0.390071,,50991,,18.7447,2.70946,1.83854,405.729,1249.27,4.95199,4.95357,2.98,2.85,24.6788,35.42,0.315129,0d 0h 0m 18s
95,10,3975.78,39700.1,282,2820,279.3,2793,2.7,27,0.957447,0.957447,,51673,,18.7031,2.9026,0.871177,268.42,1012.67,4.81421,4.8152,3.36,3.75,16.5186,25.5606,0.328769,0d 0h 0m 19s
96,10,3648.36,36433.8,282,2820,256.3,2563,25.7,257,9.11348,9.11348,,64746,,16.6238,2.61263,0.870659,443.42,1665.89,6.03879,6.19852,3.15,2.85,28.1478,47.2319,0.390474,0d 0h 0m 23s
97,10,3941.61,39359.9,282,2820,276.9,2769,5.1,51,1.80851,1.80851,,47289,,21.6056,2.41872,0.870347,401.417,1015.56,4.40747,4.33108,2.46,2.85,24.7075,34.0229,0.291562,0d 0h 0m 17s
98,10,3840.56,38349.2,282,2820,269.8,2698,12.2,122,4.32624,4.32624,,50059,,21.7771,2.12874,0.870451,483.256,2094.77,4.98728,4.64513,2.23,1.85,32.7215,49.3294,0.31348,0d 0h 0m 18s
